epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,469.096,0.47958,3.36566,0.9901,0.71279,0.77101,0.82196,0.78881,0.29323,1.10557,0.8924,9.23706e-05,9.23706e-05,9.23706e-05
2,930.658,0.39486,1.09811,0.95374,0.99076,0.99175,0.99487,0.98148,0.21072,0.33317,0.81676,0.000175878,0.000175878,0.000175878
3,1385.68,0.34867,0.7191,0.92185,0.99422,0.99658,0.99498,0.98647,0.197,0.27851,0.80674,0.000250211,0.000250211,0.000250211
4,1841.53,0.32426,0.59436,0.9056,0.99737,0.99822,0.99468,0.98504,0.18804,0.24228,0.80146,0.000236717,0.000236717,0.000236717
5,2301.75,0.30212,0.51584,0.89487,0.99939,0.99982,0.995,0.99121,0.17293,0.19292,0.79174,0.000222956,0.000222956,0.000222956
6,2767.71,0.28914,0.46164,0.88849,0.99976,0.99987,0.995,0.99225,0.16701,0.17435,0.7882,0.000209195,0.000209195,0.000209195
7,3228.01,0.27303,0.41886,0.88087,0.99873,0.9992,0.995,0.99267,0.15916,0.16233,0.78566,0.000195434,0.000195434,0.000195434
8,3685.07,0.26385,0.38777,0.87741,0.99969,0.99992,0.995,0.99359,0.1434,0.14862,0.78,0.000181673,0.000181673,0.000181673
9,4139.9,0.25267,0.36488,0.87144,0.99972,0.99983,0.995,0.99418,0.13556,0.13616,0.77629,0.000167912,0.000167912,0.000167912
10,4595.12,0.24591,0.34398,0.86931,0.99948,0.99996,0.99498,0.99275,0.14963,0.14252,0.7825,0.000154151,0.000154151,0.000154151
11,5047.05,0.16399,0.21257,0.81348,0.99983,0.99972,0.995,0.99455,0.13349,0.1244,0.77378,0.00014039,0.00014039,0.00014039
12,5497.43,0.15449,0.1884,0.80751,0.99991,1,0.995,0.99454,0.1235,0.1148,0.77134,0.000126629,0.000126629,0.000126629
13,5945.75,0.1468,0.17382,0.80372,0.99991,0.99994,0.995,0.99484,0.11767,0.11283,0.76909,0.000112868,0.000112868,0.000112868
14,6395.15,0.14154,0.16377,0.80206,0.99991,0.99999,0.995,0.99486,0.11296,0.10609,0.76744,9.9107e-05,9.9107e-05,9.9107e-05
15,6843.95,0.13754,0.15684,0.80142,0.9999,0.99994,0.995,0.99489,0.10705,0.10135,0.7664,8.5346e-05,8.5346e-05,8.5346e-05
16,7292.88,0.13178,0.14578,0.80005,0.99987,0.99997,0.995,0.99489,0.10802,0.09954,0.76678,7.1585e-05,7.1585e-05,7.1585e-05
17,7742.46,0.12649,0.13723,0.79582,0.99977,1,0.995,0.99496,0.10007,0.09461,0.76453,5.7824e-05,5.7824e-05,5.7824e-05
18,8190.14,0.12163,0.13161,0.79487,0.99973,0.99998,0.995,0.99495,0.09843,0.09281,0.76469,4.4063e-05,4.4063e-05,4.4063e-05
19,8636.92,0.11764,0.12549,0.7938,0.99981,1,0.995,0.99497,0.09623,0.08711,0.76316,3.0302e-05,3.0302e-05,3.0302e-05
20,9086.96,0.11418,0.12136,0.79233,0.99989,0.99994,0.995,0.99498,0.09219,0.08454,0.76198,1.6541e-05,1.6541e-05,1.6541e-05
