epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,420.35,0.66431,3.2343,1.11957,0.52334,0.67201,0.65453,0.60542,0.39217,1.43716,0.94978,9.23706e-05,9.23706e-05,9.23706e-05
2,833.015,0.52392,1.32464,1.03546,0.9748,0.95047,0.98979,0.92031,0.35847,0.45847,0.9231,0.000175878,0.000175878,0.000175878
3,1242.6,0.45995,0.89553,0.99144,0.96404,0.94757,0.99047,0.94338,0.29788,0.42624,0.87253,0.000250211,0.000250211,0.000250211
4,1652.58,0.43523,0.75622,0.97403,0.98959,0.98224,0.99459,0.96215,0.26118,0.30198,0.84893,0.000236717,0.000236717,0.000236717
5,2062.37,0.40896,0.66511,0.95901,0.98968,0.98291,0.99466,0.95703,0.2768,0.27746,0.86353,0.000222956,0.000222956,0.000222956
6,2471.9,0.3847,0.59637,0.94729,0.99488,0.98879,0.99492,0.96754,0.25113,0.24716,0.84272,0.000209195,0.000209195,0.000209195
7,2882.15,0.36775,0.55066,0.93847,0.99582,0.99013,0.99494,0.97029,0.23724,0.22868,0.8356,0.000195434,0.000195434,0.000195434
8,3291.25,0.35678,0.51186,0.9315,0.99554,0.99209,0.99495,0.97697,0.21259,0.21579,0.82201,0.000181673,0.000181673,0.000181673
9,3700.94,0.34077,0.48105,0.92259,0.9965,0.99364,0.99497,0.97897,0.20667,0.20533,0.81981,0.000167912,0.000167912,0.000167912
10,4109.84,0.33315,0.46032,0.92232,0.99717,0.99476,0.99498,0.97584,0.21683,0.19373,0.828,0.000154151,0.000154151,0.000154151
11,4542.09,0.23706,0.28438,0.85502,0.99653,0.99316,0.99498,0.9831,0.18942,0.17735,0.80652,0.00014039,0.00014039,0.00014039
12,4980.54,0.22587,0.25638,0.84696,0.99757,0.99486,0.99498,0.98387,0.18632,0.16871,0.80571,0.000126629,0.000126629,0.000126629
13,5418.04,0.21439,0.23638,0.83922,0.99811,0.99504,0.99499,0.98496,0.17856,0.16188,0.80141,0.000112868,0.000112868,0.000112868
14,5854.37,0.20567,0.22292,0.83399,0.99816,0.99592,0.995,0.98715,0.16891,0.15317,0.79721,9.9107e-05,9.9107e-05,9.9107e-05
15,6263.6,0.19913,0.21199,0.83234,0.99821,0.99596,0.995,0.98809,0.16529,0.14876,0.79437,8.5346e-05,8.5346e-05,8.5346e-05
16,6690.96,0.19373,0.20162,0.82968,0.9987,0.99674,0.995,0.9891,0.15842,0.14383,0.79239,7.1585e-05,7.1585e-05,7.1585e-05
17,7125.03,0.18747,0.19165,0.82526,0.99793,0.99672,0.995,0.98924,0.15349,0.1378,0.7899,5.7824e-05,5.7824e-05,5.7824e-05
18,7557.15,0.18078,0.18493,0.82253,0.99866,0.99743,0.995,0.99019,0.14984,0.13215,0.78845,4.4063e-05,4.4063e-05,4.4063e-05
19,7985.34,0.1754,0.17768,0.821,0.99896,0.99718,0.995,0.99056,0.14575,0.12936,0.78717,3.0302e-05,3.0302e-05,3.0302e-05
20,8391.34,0.17091,0.17349,0.8172,0.99943,0.99726,0.995,0.99127,0.14118,0.12527,0.78512,1.6541e-05,1.6541e-05,1.6541e-05
